¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
§Ó©÷ªô¿ûÅKªÑ¥÷¦³­­¤½¥q©x¥Ð¼t,67003051,,»O«n¥«©x¥Ð°Ï¤GÂí¨½¤u·~¸ô37¸¹B´É,»O«n¥«©x¥Ð°Ï¤GÂí¨½,ªô§»®õ,86220355,ªÑ¥÷¦³­­¤½¥q,,1100701,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
·½¸Î¯È¾¹¥[¤uªÀ,68004161,,®ç¶é¥«¤¤Ãc°Ï´¶©¾¨½´¶©¾¸ô177¸¹,®ç¶é¥«¤¤Ãc°Ï´¶©¾¨½,±i¬F·¢,56700096,¿W¸ê,,1100527,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¥¿´­¬ì§ÞªÑ¥÷¦³­­¤½¥q,65009862,,·s¥_¥«·s©±°ÏÄ_ºÖ¨½Ä_¿³¸ô45«Ñ9§Ë1¸¹4¼Ó,·s¥_¥«·s©±°ÏÄ_ºÖ¨½,³¯°ê´­,50990409,ªÑ¥÷¦³­­¤½¥q,,1101012,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,284·Ó©ú³]³Æ¤Î°t³Æ
øÊ²»Àô«O¦³­­¤½¥q,14000048,,»OªF¿¤»OªF¥«Â×¥Ð¨½Â×¿³¸ô38¸¹,»OªF¿¤»OªF¥«Â×¥Ð¨½,Â²®¶ªN,54993863,¦³­­¤½¥q,,1100809,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
¤é«Â¶T©öªÑ¥÷¦³­­¤½¥q,7004725,,¹ü¤Æ¿¤©M¬üÂí¦n­×¨½¦è¿³¸ô19¸¹,¹ü¤Æ¿¤©M¬üÂí¦n­×¨½,®}³·¬õ,12985659,ªÑ¥÷¦³­­¤½¥q,,1110325,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¥[³ö¥ø·~¦³­­¤½¥q¤u¼t,99706343,,»O«n¥«Âk¤¯°Ï¤j¼q¨½«n¤B¸ô709¸¹,»O«n¥«Âk¤¯°Ï¤j¼q¨½,¤ý´Â¥¿,80119445,¦³­­¤½¥q,,950810,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
§Q¹F»sÃÄªÑ¥÷¦³­­¤½¥q,99701140,,»O¤¤¥«¤j¥Ò°Ï©¢¤s¨½¤¤¤s¸ô¤@¬q906¸¹,»O¤¤¥«¤j¥Ò°Ï©¢¤s¨½,¤ý·çµo,56112203,ªÑ¥÷¦³­­¤½¥q,,921002,¥Í²£¤¤,20ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~»s³y·~¡B33¨ä¥L»s³y·~,200ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~¡B332ÂåÀø¾¹§÷¤Î¥Î«~
©^®õ¤uµ{¦æ,64008944,,°ª¶¯¥«¿P±_°Ï¦w©Û¨½¤¤¿³¸ô500¸¹,°ª¶¯¥«¿P±_°Ï¦w©Û¨½,¶À¤å±l,6690919,¦X¹Ù,,1100209,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
ªx¨ÈÀ³¥Î¬ì§ÞªÑ¥÷¦³­­¤½¥q,68004802,,®ç¶é¥«¤¤Ãc°Ï¤å¤Æ¨½¦X¦¿¤G¸ô7¸¹(1¼Ó),®ç¶é¥«¤¤Ãc°Ï¤å¤Æ¨½,³¯«ÛºÍ,82782087,ªÑ¥÷¦³­­¤½¥q,,1110330,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,199¥¼¤ÀÃþ¨ä¥L¤Æ¾Ç»s«~
­»´I­¹«~¦³­­¤½¥q¦Ë¬ì¼t,18000427,,·s¦Ë¥«ªF°ÏÂ×¥\¨½ªF¬ü¸ô151¸¹²Ä¤@¼h,·s¦Ë¥«ªF°ÏÂ×¥\¨½,§d¨Ø«G,54540861,¦X¹Ù,,1101215,¥Í²£¤¤,08­¹«~»s³y·~¡B08­¹«~»s³y·~,089¨ä¥L­¹«~
¥¿¿³¾÷¹q¤uµ{ªÑ¥÷¦³­­¤½¥q,68003869,,®ç¶é¥«Àt¤s°Ï¼Öµ½¨½¤å¼w¸ô25¸¹(1¼Ó)),®ç¶é¥«Àt¤s°Ï¼Öµ½¨½,ªL¼y©¾,96891607,ªÑ¥÷¦³­­¤½¥q,,1100111,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,289¨ä¥L¹q¤O³]³Æ¤Î°t³Æ
ºZ¤j¥ø·~¦³­­¤½¥q¤G¼t,S6600399,,»O¤¤¥«¯Q¤é°ÏÁ³¼æ¨½¤Ó©ú¸ô¦¨Â×«Ñ215§Ë13¤§1¸¹,»O¤¤¥«¯Q¤é°ÏÁ³¼æ¨½,±i¦N©÷,96992470,¦³­­¤½¥q,,1090703,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤O»ï¦³­­¤½¥q¤@¼t,66000975,,»O¤¤¥«Â×­ì°Ï¥Ð¤ß¨½¦X§@µó37«Ñ98¸¹1¼Ó,»O¤¤¥«Â×­ì°Ï¥Ð¤ß¨½,ÃQÏÐ²»,16339295,¦³­­¤½¥q,,1010405,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ
µØ¯C¥ø·~¦³­­¤½¥q,68004275,,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½¤º©w¤G¤Qµó158«Ñ31¸¹¡]1¼Ó¡^,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½,¶À¯À¬Ã,27761880,¦³­­¤½¥q,,1100705,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
·R¥[­¹«~¦³­­¤½¥qÀs¼æ¼t,99722304,,®ç¶é¥«Às¼æ°Ï¯QªL¨½¤¤Â×¸ô¢´¢²¢²«Ñ¢°¢³¢µ§Ë¢µ¢¶¸¹¢°¼Ó,®ç¶é¥«Às¼æ°Ï¯QªL¨½,¶À®a·½,1861408,¦³­­¤½¥q,,990115,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
Áp¶v¥ú¹qªÑ¥÷¦³­­¤½¥q¾ô¦w¤G¼t,99693171,,·s¥_¥«¤¤©M°Ï¾ô¦wµó27¸¹5¼Ó¡B6¼Ó¡B8¼Ó¡B35¸¹4¼Ó¡B5¼Ó¡B6¼Ó¡B8¼Ó,·s¥_¥«¤¤©M°Ï,¾G¯¬¨},12624467,ªÑ¥÷¦³­­¤½¥q,,931012,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,264¥ú¹q§÷®Æ¤Î¤¸¥ó¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B272³q°T¶Ç¼½³]³Æ¡B277¥ú¾Ç»ö¾¹¤Î³]³Æ
ÑÔ©÷¾÷±ñªÑ¥÷¦³­­¤½¥q,99650544,6.21E+12,¹ü¤Æ¿¤®H¤ß¶m¥Ë«n§ø¤T¥Á¸ô¢±¢°¢µ¸¹,¹ü¤Æ¿¤®H¤ß¶m¥Ë«n§ø,¨L©ú©v¡@¡@,60296294,ªÑ¥÷¦³­­¤½¥q,620914,631221,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B253ª÷ÄÝ®e¾¹¡B312¾÷¨®¤Î¨ä¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
ÏÊ©÷¥ø·~¦³­­¤½¥q,68004310,,®ç¶é¥«®ç¶é°Ï¥É¤s¨½¥É¤sµó233«Ñ41§Ë5¸¹(1¡B2¼Ó),®ç¶é¥«®ç¶é°Ï¥É¤s¨½,ªLà±ÏÊ,90756317,¦³­­¤½¥q,,1100721,¥Í²£¤¤,08­¹«~»s³y·~,083½­ªG¥[¤u
¯q¿³Ãw«CªÑ¥÷¦³­­¤½¥q¥Á¶¯¼t,99655553,8.31001E+12,¹Å¸q¿¤¥Á¶¯¶mµ×®H§øµ×®H¢°¢³¢¯¡Ð¢±¢¶¸¹,¹Å¸q¿¤¥Á¶¯¶mµ×®H§ø,½²ªQ¯q,66629235,ªÑ¥÷¦³­­¤½¥q,830120,831005,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,239¨ä¥L«Dª÷ÄÝÄqª«»s«~
º~®õ¬ì§ÞªÑ¥÷¦³­­¤½¥q,67000662,,»O«n¥«Ãö¼q°Ï²`§|¨½«n¶¯¸ô¤@¬q126¸¹A´É,»O«n¥«Ãö¼q°Ï²`§|¨½,©P«Ï¥à,84244120,ªÑ¥÷¦³­­¤½¥q,,1020702,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¥°®aÄÉ­¹«~¥ø·~¦³­­¤½¥q,99675920,,¹Å¸q¿¤¤ô¤W¶m¸q¿³§øµf¤l¼d¢±¢¯¤§¢°¸¹¢°¼Ó,¹Å¸q¿¤¤ô¤W¶m¸q¿³§ø,±i¦A¯Ñ,27836257,¦³­­¤½¥q,,941017,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¦ÛµM¤H¤u¯ó¹ê·~¦³­­¤½¥q,S6500202,,·s¥_¥«®õ¤s°Ï¤j¬ì¨½¤j¬ì¤@¸ô15¸¹¤§1,·s¥_¥«®õ¤s°Ï¤j¬ì¨½,§õðç¦t,5711113,¦³­­¤½¥q,,1090526,¥Í²£¤¤,33¨ä¥L»s³y·~¡B33¨ä¥L»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,339¥¼¤ÀÃþ¨ä¥L»s«~¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¸U¹ÅÀô«O¤u·~ªÑ¥÷¦³­­¤½¥q,68003052,,®ç¶é¥«Æ[­µ°Ï¤j¼æ¨½Àô¬ì¸ô188¸¹,®ç¶é¥«Æ[­µ°Ï¤j¼æ¨½,§d®x¼Ö,53110723,ªÑ¥÷¦³­­¤½¥q,,1081118,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~
¦ùÂ×»Êª©¥ø·~¦³­­¤½¥q,99644126,8.11001E+12,»O¤¤¥«¤Ó¥­°Ï¥úµØ¨½ªø¦w¸ô491¸¹,»O¤¤¥«¤Ó¥­°Ï¥úµØ¨½,§õÄR¶³,84680733,¦³­­¤½¥q,810826,810929,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~¡B33¨ä¥L»s³y·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s¡B339¥¼¤ÀÃþ¨ä¥L»s«~
´I²Î­¹«~ªÑ¥÷¦³­­¤½¥q,99666199,8.0101E+12,«ÌªF¿¤¸U¤¦¶m¤ô¬u§ø¬u¶¶µó439«Ñ37¸¹,«ÌªF¿¤¸U¤¦¶m¤ô¬u§ø,¶À¬üÄR,23344294,ªÑ¥÷¦³­­¤½¥q,800812,801105,¥Í²£¤¤,08­¹«~»s³y·~,081¦×Ãþ¥[¤u¡B082¤ô²£¥[¤u¡B089¨ä¥L­¹«~
¨ó¿³¤â®M¥ø·~¦³­­¤½¥q,S0700898,,¹ü¤Æ¿¤®HÆQ¶m«n·s§ø¦nª÷¸ô¤T«Ñ29-2¸¹,¹ü¤Æ¿¤®HÆQ¶m«n·s§ø,³\²Q©f,24440611,¦³­­¤½¥q,,1090713,¥Í²£¤¤,21¾ó½¦»s«~»s³y·~,210¾ó½¦»s«~
¥x¸sÀç³y¦³­­¤½¥q,7004151,,¹ü¤Æ¿¤¦ù´ä¶m®ü§À§øÀØ¤G¸ô192¸¹1¼Ó,¹ü¤Æ¿¤¦ù´ä¶m®ü§À§ø,³¯¨ÎµØ,54547745,¦³­­¤½¥q,,1100325,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B254ª÷ÄÝ¥[¤u³B²z
§Q²Ô¬ì§ÞªÑ¥÷¦³­­¤½¥q¤G¼t,90K01002,,°ª¶¯¥««eÂí°ÏªF¤Q¤Gµó3.4.5.6¸¹,°ª¶¯¥««eÂí°Ï,§õ¬f°í,13168760,ªÑ¥÷¦³­­¤½¥q,,1101008,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,199¥¼¤ÀÃþ¨ä¥L¤Æ¾Ç»s«~¡B254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
ª÷¼w©÷¿³·~¦³­­¤½¥q,99622695,8.81E+12,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½¥Ã¿³µó¤T¤C«Ñ¤G¤G§Ë¤T¸¹,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½,³\²±©M¡@¡@¡@,84863156,¦³­­¤½¥q,880322,880325,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
­¸§ÞªÑ¥÷¦³­­¤½¥q,99627727,8.91E+12,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½¶}¶©µó¤»¤K¸¹,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½,ÁÂ¿o©÷,22491228,ªÑ¥÷¦³­­¤½¥q,890530,890608,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¥Ã¥þ¤u·~ªÀ,99686222,9.01E+12,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½­XÐ¤¸ô¤K¥|¢¯¸¹,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½,ÁÂ¼z­s,2496528,¿W¸ê,900307,900315,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B259¨ä¥Lª÷ÄÝ»s«~¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B264¥ú¹q§÷®Æ¤Î¤¸¥ó¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó¡B319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó
¤s¯q¾÷±ñ¼t,99629534,7.61E+12,®ç¶é¥«®ç¶é°Ï¤jªL¨½¤j­ì¸ô16«Ñ30§Ë21¸¹,®ç¶é¥«®ç¶é°Ï¤jªL¨½,§õ¯»¡@¡@,2618732,¿W¸ê,760228,760420,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B259¨ä¥Lª÷ÄÝ»s«~
ªF¨Î¹ê·~¦³­­¤½¥q,99625192,7.81E+12,®ç¶é¥«®ç¶é°Ï¨X¬w¨½?®w¦èµó¤­¤G¸¹,®ç¶é¥«®ç¶é°Ï¨X¬w¨½,«¸Â§®ö¡@¡@¡@,84617155,¦³­­¤½¥q,780311,780322,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,284·Ó©ú³]³Æ¤Î°t³Æ¡B273µøÅ¥¹q¤l²£«~
½«·½¤u·~ªÑ¥÷¦³­­¤½¥q,99628747,7.91E+12,®ç¶é¥«®ç¶é°Ï¥É¤s¨½¥É¤sµó¤G¤@¤G«Ñ¤@¥|§Ë¤@¡³¸¹,®ç¶é¥«®ç¶é°Ï¥É¤s¨½,¾G¥É§D¡@¡@¡@,23681231,ªÑ¥÷¦³­­¤½¥q,790612,791012,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¼y©÷´ã²k¹q²k±M·~¦æ,99601033,,·s¥_¥«·s²ø°Ï¤Æ¦¨¨½¤Æ¦¨¸ô¤@¤C¤G¸¹¤@¼Ó,·s¥_¥«·s²ø°Ï¤Æ¦¨¨½,±ä´ÂÄP,2101074,¿W¸ê,,900823,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
¬ü«ä¹Ú¹ê·~¦³­­¤½¥q©£¤s¼t,64009330,,°ª¶¯¥«©£¤s°Ï¬°ÀH¨½¬°ÀHªF¸ô66«Ñ28¸¹,°ª¶¯¥«©£¤s°Ï¬°ÀH¨½,³¯¤ôÆF,27201445,¦³­­¤½¥q,,1110613,¥Í²£¤¤,11¯¼Â´·~,115¯¼Â´«~
¥¿õÓ¥ø·~¦³­­¤½¥q,68003606,,®ç¶é¥«®ç¶é°Ï¤j¾ð¨½¤j©úµó79¸¹(1¼Ó),®ç¶é¥«®ç¶é°Ï¤j¾ð¨½,¤ý¿³³Í,89675581,¦³­­¤½¥q,,1090825,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ¡B259¨ä¥Lª÷ÄÝ»s«~
²»ºÖ´²¼ö¥ø·~¦³­­¤½¥q¤u¼t,7003881,,¹ü¤Æ¿¤¥_¤æÂí¤¤¼d¨½¤¤¼d¤G¸ô172¸¹1¼Ó,¹ü¤Æ¿¤¥_¤æÂí¤¤¼d¨½,¿c¯À?,28555135,¦³­­¤½¥q,,1091014,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,285®a¥Î¹q¾¹¡B293³q¥Î¾÷±ñ³]³Æ
§®¦N¹ê·~¦³­­¤½¥q,67003089,,»O«n¥«¨Î¨½°Ï¤å·s¨½¦w¦è126¤§2¸¹,»O«n¥«¨Î¨½°Ï¤å·s¨½,·¨ÄRµ^,22777949,¦³­­¤½¥q,,1100903,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¦XÂ@¥ø·~ªÀ,7004578,,¹ü¤Æ¿¤¨q¤ô¶m¦wªF§ø¤¯·R¸ô26¸¹1¼Ó,¹ü¤Æ¿¤¨q¤ô¶m¦wªF§ø,ªL«T¨},72506915,¿W¸ê,,1101125,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
¥­¥ú¹qµÛ¶î¸ËªÑ¥÷¦³­­¤½¥q,99648222,7.91E+12,¹ü¤Æ¿¤¹ü¤Æ¥«Ûl®ä¨½¹ü³À¸ô¤E¤T«Ñ¥|¤G¸¹,¹ü¤Æ¿¤¹ü¤Æ¥«Ûl®ä¨½,¶À©ú?,23274467,ªÑ¥÷¦³­­¤½¥q,790317,800831,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
°ê³Í¤uµ{¦³­­¤½¥q,13000499,,«ÌªF¿¤·s¶é¶m·s¶é§ø¶ý¯ª¸ô407«Ñ1§Ë6¸¹,«ÌªF¿¤·s¶é¶m·s¶é§ø,±ç¨q¬Ã,53161594,¦³­­¤½¥q,,1070723,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
·s¹V´¹¥ø·~ªÑ¥÷¦³­­¤½¥q,99684626,,»O«n¥«¥Ã±d°Ï¤ý¦æ¨½¸gµØ¸ô10¸¹,»O«n¥«¥Ã±d°Ï¤ý¦æ¨½,¤ý¦wªF,28546447,ªÑ¥÷¦³­­¤½¥q,,931231,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó
´ººÓ¬ì§ÞªÑ¥÷¦³­­¤½¥q¤G¼t,99621004,,®ç¶é¥«·s«Î°Ï¥Û½U¨½¤¤µØ¸ô¢°¢±¢³¢´¤§¢°¸¹,®ç¶é¥«·s«Î°Ï¥Û½U¨½,¹ù½ç¬F,70785139,ªÑ¥÷¦³­­¤½¥q,,900413,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,263¦L¨ê¹q¸ôªO
­§µq¹ê·~¦³­­¤½¥q,99610160,7.21E+12,·s¥_¥«·s²ø°ÏÀY«e¨½¤Æ¦¨¸ô¤G¤E¤T«Ñ¤T¤»¸¹,·s¥_¥«·s²ø°ÏÀY«e¨½,©P»ÊªF,35901358,¦³­­¤½¥q,721004,730112,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~¡B18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s¡B184¶ì½¦¤Î¦X¦¨¾ó½¦­ì®Æ
¹F¥i´¼¯à¬ì§ÞªÑ¥÷¦³­­¤½¥q,65009532,,·s¥_¥«¾ðªL°Ï¤s¨Î¨½¤K¼wµó502¸¹2¼Ó,·s¥_¥«¾ðªL°Ï¤s¨Î¨½,§d¶À´Ñ,66256354,ªÑ¥÷¦³­­¤½¥q,,1100705,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¥°®õ¾÷±ñ¤uµ{¦³­­¤½¥q,68004661,,®ç¶é¥«Àt¤s°Ï¤j§|¨½«n¤W¸ô520«Ñ28§Ë69¸¹4¼Ó,®ç¶é¥«Àt¤s°Ï¤j§|¨½,±i¹Å¯q,24254448,¦³­­¤½¥q,,1110124,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
³°¥\¤u·~ªÑ¥÷¦³­­¤½¥q,99655919,7.81E+12,¹Å¸q¿¤¥Á¶¯¶m¥_¤æ§ø¥Á¶¯¤u·~°Ï¦¨¥\¤Gµó¢¸¸¹,¹Å¸q¿¤¥Á¶¯¶m¥_¤æ§ø,®ïÃÙ³Ç,23514240,ªÑ¥÷¦³­­¤½¥q,780524,800205,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~,241¿ûÅK
°¥©ö¹F¶}µo¦³­­¤½¥q,68004699,,®ç¶é¥«Àt¤s°Ï¤j§|¨½«n¤W¸ô520«Ñ6§Ë28¸¹(2¼Ó),®ç¶é¥«Àt¤s°Ï¤j§|¨½,À¹¸U·½,82774002,¦³­­¤½¥q,,1110122,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,239¨ä¥L«Dª÷ÄÝÄqª«»s«~
µØºaÅK¤u¼t,99632074,7.51001E+12,­]®ß¿¤»ÉÆr¶m»ÉÆr§ø¤E¾F¶l¹qµó¤@¸¹,­]®ß¿¤»ÉÆr¶m»ÉÆr§ø,ªô¬f¿Ä,49664601,¿W¸ê,751023,751023,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
«³¥ß¬Õ¤u·~¦³­­¤½¥q·s²ø¼t,65009908,,·s¥_¥«·s²ø°Ï¦è²±¨½·s¾ð¸ô305¸¹(2¼Ó),·s¥_¥«·s²ø°Ï¦è²±¨½,ªL«Â§»,80748401,¦³­­¤½¥q,,1101027,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,220¶ì½¦»s«~¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
¥xÆWªQ¤U¦h¼h§÷®ÆªÑ¥÷¦³­­¤½¥q,99630177,8.31E+12,·s¦Ë¿¤´ò¤f¶m¤¤¿³§ø¥ú´_¸ô20¤§1¸¹,·s¦Ë¿¤´ò¤f¶m¤¤¿³§ø,´Ë¸Î«H,22522215,ªÑ¥÷¦³­­¤½¥q,831116,841207,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,263¦L¨ê¹q¸ôªO
±¶¬ì¥ø·~ªÀ,65009340,,·s¥_¥«·s²ø°Ï«ä·½¨½¥Á¼Öµó46¸¹(1¼Ó),·s¥_¥«·s²ø°Ï«ä·½¨½,½²®a¼y,42198877,¦X¹Ù,,1100408,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
³ÓÄn¼Æ¦ì¬ì§Þ¥]¸Ë¦³­­¤½¥q,S6600693,,»O¤¤¥«¨F³À°Ï¤»¸ô¨½¤»¸ô¤Q¤­µó50¸¹,»O¤¤¥«¨F³À°Ï¤»¸ô¨½,§õ´Ü¦¨,5795788,¦³­­¤½¥q,,1090731,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
¦w©[¤uµ{¦³­­¤½¥q,64009008,,°ª¶¯¥«¤j¼d°Ï·s­í¨½»ñªL¤G¸ô293-62¸¹,°ª¶¯¥«¤j¼d°Ï·s­í¨½,¼B¶®ªY,24985063,¦³­­¤½¥q,,1100412,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
